text,label,label_text
We report a 13 year-old male who developed life-threatening anaphylaxis early in the course of Increlex therapy.,1,Related
"A 14-year-old female developed systemic lupus erythematosus (SLE)-like symptoms, rash, fever, leukopenia and positive anti-nuclear antibody (ANA) two weeks after administration of carbamazepine (CBZ; Tegretol) used against benign Rolandic epilepsy.",1,Related
"At the age of 12, a prematurely born boy with an otherwise unremarkable past medical history developed bilateral optic neuritis associated with transverse myelopathy.",0,Not-Related
"The case of a young woman suffering from multiple autoimmune-dysreactive disorders (including thyreoiditis, myasthenia gravis, thymectomy, Crohn's disease, and erythema nodosum), while undergoing steroideal therapy, was complicated by a severe infectious disorder (severe upper urinary tract infection).",0,Not-Related
"Here, we present a case of sirolimus-associated interstitial pneumonitis in a cardiac transplant recipient that resolved completely with withdrawal of the drug and treatment with corticosteroids.",1,Related
Three patients achieved undetectable HIV loads with enfuvirtide salvage regimens.,0,Not-Related
Extraskeletal tumoral calcifications (TC) may occur in patients with end-stage renal disease.,0,Not-Related
Periosteal infusion of bupivacaine/morphine post sternal fracture: a new analgesic technique.,0,Not-Related
We report a case culture-negative interface abscess following LASIK that was successfully treated with antibiotics and povidone iodine.,0,Not-Related
Mycobacterium fortuitum bacteremia with granulomatous hepatitis complicating home cyclic parenteral nutrition through an indwelling Broviac catheter occurred in a 41-year-old woman.,0,Not-Related
Radiotherapy enhances the toxicity of aminoglutethimide.,0,Not-Related
Single case study.,0,Not-Related
Ocular examination of both eyes revealed anterior subcapsular opacities of both lenses with the right eye being more severe than the left.,0,Not-Related
"To avoid hyperuricemia and an acute attack of gout after RFA therapy for HCC, early identification of patients at risk is warranted, such as those with a large tumor, rapid tumor growth, and renal insufficiency, and preventative measures should be considered.",0,Not-Related
"Therapy was continued for 8 months or longer in 6 patients, none of whom developed life-threatening infections.",0,Not-Related
"If cancer and AAA coincide and curative chemotherapy is possible, a potential impact of chemotherapy on AAA expansion should be considered.",0,Not-Related
Antibiotic-associated colitis (pseudomembranous colitis) developed in four patients with spinal cord injury and taking oral trimethoprim-sulfamethoxazole.,1,Related
"However, thereafter he suffered from serious infectious complications associated with immunosuppression and finally died 11 months after APOLT.",0,Not-Related
"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",1,Related
CONCLUSIONS: There is very little published information regarding ofloxacin-induced toxic epidermal necrolysis.,1,Related
"However, two children responded to the series of injections of hydrocortisone but not to single doses of methylprednisolone.",0,Not-Related
Severe hepatotoxicity related to benzarone: a report of three cases with two fatalities.,1,Related
Excessive level of parathyroid hormone may induce the reduction of recombinant human erythropoietin effect on renal anemia.,0,Not-Related
Torsade de pointes represents a potential complication of chronic amiodarone therapy.,1,Related
"started having backache, fever and became operatively.",0,Not-Related
"Black cohosh is one of the most popular herbal therapies for premenstrual discomfort, hot flushes and other climacteric and menopausal symptoms.",0,Not-Related
"A dapsone hypersensitivity syndrome, consisting of fever, headache, nausea, vomiting, lymphadenopathy, hepatitis, hemolysis, leukopenia, and mononucleosis, has been described in patients treated with the drug for leprosy.",1,Related
We report a case of Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) secondary to trimethoprim-sulfamethoxazole (TMP-Sx) therapy for presumed community-associated methicillin-resistant Staphylococcus aureus (CA-MRSA) infection.,1,Related
Healthcare providers and members of the public should be aware of the potential adverse effects of these remedies.,0,Not-Related
"Physicians should suspect pulmonary toxicity in patients with respiratory distress after gemcitabine chemotherapy, mainly in elderly patients.",0,Not-Related
Risperidone-induced psychosis and depression in a child with a mitochondrial disorder.,1,Related
"Toxic streptococcal syndrome is characterized by fever, shock, multiorgan system failure and a desquamating scarlatiniform rash.",0,Not-Related
"Furthermore, inadequate control of hypertension may have been another cause of hemorrhage.",0,Not-Related
The patient developed infectious complications and died on hospital day 32.,0,Not-Related
"Quinine and its isomer quinidine are well-known causes of iatrogenic hypoglycaemia, due to excessive insulin secretion.",1,Related
Severe rhabdomyolysis developed within 5 hours after the injection.,0,Not-Related
Therefore we recommend the less invasive approach first--urokinase therapy--to be followed by surgical intervention if thrombolysis is unsuccessful.,0,Not-Related
"An uncommon manifestation of phototoxicity, photo-onycholysis results in the separation of the distal nail from the nail bed.",0,Not-Related
"Amphotericin B (AmB) is effective, but its use is limited by toxicity: renal impairment, anaemia, fever, malaise, and hypokalaemia are common.",1,Related
"Because of serious side effects of an increase in the QT interval causing torsades de pointes, dofetilide must be initiated with close monitoring of the QT interval in an inpatient setting.",1,Related
"A 35-year-old woman was admitted to our hospital with the following complaints, headache, sweating, anxiety, dizziness, nausea, vomiting and severe hypertension.",0,Not-Related
"Three weeks later, diffusion abnormalities resolved, and T2-weighted studies showed increased signal intensity of prolonged T2 changes in areas of prior restricted diffusion.",0,Not-Related
"Antiphospholipid syndrome is an autoimmune disease that is characterised by tendency to thrombosis, obstetrical and hematological complications.",0,Not-Related
Safety of nab-paclitaxel plus sunitinib: analysis of three cases.,0,Not-Related
Reduction of methylprednisolone dosage rather than insulin therapy resulted in better control of glycemia.,1,Related
Symptoms resolved when systemic corticosteroids were administered.,0,Not-Related
"Neurologic symptoms resolved after stopping CAP for 4 weeks in Patient A, with no recurrence after reinitiating CAP alone at 2000 mg/m2.",1,Related
OBJECTIVE: To describe a series of patients with clinically significant lead poisoning.,0,Not-Related
"Coronary thrombolysis is contraindicated in patients with transient cerebral ischemia and stroke, arterial hypertension, cerebral trauma, cerebral aneurysms, and arteriovenous malformations, because of the risk of cerebral hemorrhage.",0,Not-Related
"He had received treatment with 400 mg of imatinib per day for 77 days, followed by dasatinib for 133 days.",0,Not-Related
Antimonial derivatives induced a rapid remission.,0,Not-Related
Treatment with sodium bicarbonate readily corrected a potentially life-threatening cardiac arrhythmia and is therefore suggested to be imperative in the treatment of these cases.,0,Not-Related
Total scaphoidectomy and appropriate antibiotic therapy eradicated the infection.,0,Not-Related
The patient was hospitalized and treated with a bolus as well as continuous infusion of intravenous magnesium sulfate.,0,Not-Related
"Despite significant improvement, extended plastic surgery was necessary for facial reconstruction.",0,Not-Related
"Two years later, his treatment was switched to olanzapine.",0,Not-Related
Hyperosmolar hyperglycemic nonketotic coma.,0,Not-Related
"PURPOSE: The intravitreal application of triamcinolone acetonide as treatment of long-standing, therapy-resistant cystoid macular edema after penetrating keratoplasty is reported.",0,Not-Related
"We conclude that while thrombocytopenia and schistocytosis can be seen in quinine-associated TTP/HUS, the pathophysiology seems to be distinct from that seen in most cases of idiopathic TTP (i.e., severely decreased ADAMTS13 with an inhibitor).",1,Related
The clinical course as well as the biochemical pattern and the investigation of liver biopsy specimens enabled us to establish the diagnoses of drug-induced canalicular and hepatocanalicular cholestasis.,0,Not-Related
"Importantly, this was the first time that information became available about the effects of tamoxifen in healthy women, that is, women who did not already have breast cancer.",0,Not-Related
A 42-year-old male underwent a total hip arthroplasty under subarachnoid anaesthesia with intrathecal bupivacaine and diamorphine.,0,Not-Related
Surgery to remove the remaining tumor was performed 19 days later.,0,Not-Related
Gastric mucosa hyperplasia is a rare cause of upper gastrointestinal obstruction in the neonatal period.,0,Not-Related
A 69-year-old man with ulcerative colitis (UC) developed sensorimotor polyneuropathy.,0,Not-Related
Subacromial impingement syndrome as a consequence of botulinum therapy to the upper trapezii: a case report.,0,Not-Related
"The patient's pain was well controlled with 10 mg continuous release morphine p.o. three times daily, and 10 mg immediate release morphine p.o. for breakthrough pain as required.",0,Not-Related
"He had been taking trimethoprim-sulfamethoxazole for approximately eight days when he revisited his family physician, complaining of headaches, dizziness, difficulty with speech, weakness, and itching on the trunk of his body and legs, where a maculopapular rash was noted.",1,Related
We report the first case of acute renal failure with hyperkalemia associated with the recently marketed direct renin inhibitor aliskiren.,1,Related
"The possibility can be raised that M-CSF accelerated the underlying renal disease in this case through enhancing macrophage accumulation into the glomerulus, leading to the development of nephrotic syndrome.",1,Related
"Thus, olanzapine dose reduction may permit treatment continuation where this is clinically indicated.",0,Not-Related
"Intravenous verapamil therapy in babies may cause apnea, hypotension, and bradycardia; continued episodes of atrial flutter in a child may cause sudden death; quinidine may be related to the death; children with ""familial seizure disorders"" may in fact have the long QT interval syndrome.",1,Related
The neurotoxicity was associated with oculomotor disturbances expressed primarily as weakness of convergence and divergence.,0,Not-Related
This case describes the complications and successful treatment of high-dose intrathecal morphine overdose.,0,Not-Related
The pupils were pinpoint.,0,Not-Related
Hemostatic physiology involves a complex interlinking of blood and endothelial factors.,0,Not-Related
We report a case of torsade de pointes following a single oral dose of amiodarone (1400 mg or 30 mg kg-1) administered after short intravenous loading for prevention of paroxysmal atrial flutter.,1,Related
Management of Graves' ophthalmopathy includes high-dose glucocorticoids.,0,Not-Related
"Bronchoscopic, cytologic, histopathologic, and virologic studies confirmed that necrotizing and exudative tracheobronchitis was due to herpes simplex virus.",0,Not-Related
The blindness may have been a consequence of an immune reactivation inflammatory syndrome caused by this treatment.,0,Not-Related
Hepatic hyperechogenicity on ultrasonography and slight elevation of serum transaminases might erroneously lead to a diagnosis of hepatic steatosis without liver histology.,0,Not-Related
"SETTING: Gimbel Eye Centre, Calgary, Alberta, Canada.",0,Not-Related
"After identification of the index patient, additional inquiry revealed that the patient's mother was hospitalized previously for overwhelming sepsis associated with metamizole use.",1,Related
Cultures of the anterior chamber were positive for Candida glabrata.,0,Not-Related
Pharmacokinetically induced benzodiazepine withdrawal.,0,Not-Related
"The clinical manifestations of an anaphylactoid reaction are identical to true anaphylaxis; however, a previous exposure to the offending agent is not needed to manifest these symptoms.",0,Not-Related
"Early ICP was elevated, >50 mm Hg, and continuous EEG monitoring showed isoelectric readings.",0,Not-Related
It is suggested that high dosage corticosteroids may damage the posterior blood-ocular barrier.,0,Not-Related
Mexiletine hydrochloride was useful in preventing recurrences of torsades de pointes.,0,Not-Related
It may or may not be accompanied by other features of toxicity.,0,Not-Related
DATA EXTRACTION: Data from pertinent published sources were reviewed and abstracted.,0,Not-Related
An acute ischaemic event associated with the use of venlafaxine: a case report and proposed pathophysiological mechanisms.,1,Related
"CONCLUSIONS: In these 3 cases, the unique positive ocular finding was corneal endothelial deposits, which may be related to the use of rifabutin.",1,Related
All-trans-retinoic acid (ATRA) is considered the recommended induction treatment for acute promyelocytic leukemia (APL).,0,Not-Related
"While the introduction of carmustine wafers (Gliadel wafers) into the tumor resection cavity has been shown to be a beneficial therapy for malignant glioma, it is recognized that clinically significant cerebral edema is a potential adverse effect.",1,Related
The patient responded to aluminum chloride applied topically.,0,Not-Related
"In addition to the therapeutic benefits, prospective monitoring of free SDC in two of the patients also may have resulted in cost savings secondary to reduced hospital stay or less use of Fab.",0,Not-Related
Antiretroviral-induced hepatic steatosis and lactic acidosis: case report and review of the literature.,0,Not-Related
Although few reports of side effects have been published complications such as priapism and fibrosis of the spongy tissue are of concern.,0,Not-Related
Progressive outer retinal necrosis presenting with isolated optic neuropathy.,0,Not-Related
A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone.,1,Related
"To our knowledge, neither the association of SINS and ankylosing spondylitis nor vertical diplopia as its presenting complaint has been described.",0,Not-Related
These reports suggest the possibility that the risk of developing hyperglycemia and diabetic coma with this combination may be greater than when taking diuretics alone.,0,Not-Related
"At 8 years 8 months of age, desensitization was attempted because of refractoriness of seizures to drugs other than phenytoin.",0,Not-Related
Rapid diagnosis may avert unnecessary changes in therapy to treat conditions which clinically mimic NEH.,0,Not-Related
We report a case of Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) secondary to trimethoprim-sulfamethoxazole (TMP-Sx) therapy for presumed community-associated methicillin-resistant Staphylococcus aureus (CA-MRSA) infection.,1,Related
It was possible to reproduce the disease by the intradermal injection of killed Group A streptococcal organisms.,0,Not-Related
We administered SKT for a patient with thoracic outlet syndrome (TOS) complaining of several resting symptoms.,0,Not-Related
"Administration of excessive insulin induced hypoglycemia within 4 to 8 hours, followed by rebound hyperglycemia.",1,Related
Rapid formation of Aspergillus mycetoma in a patient receiving corticosteroid treatment.,0,Not-Related
"Hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause hypoglycemia, such as sulfonylureas, meglitinides, and insulin.",1,Related
"Recent reports have shown that Decadron (dexamethasone; Merck Sharp & Dohme, West Point, Pa) has a significant antiemetic effect on cisplatin-induced vomiting.",1,Related
Dystonia is a common manifestation in Wilson's disease (WD).,0,Not-Related
Iatrogenic vasculitis should be suspected when a patient with idiopathic vasculitis with one type of ANCA develops the other type of ANCA.,0,Not-Related
Nodular scleritis following alendronate therapy.,1,Related
"After 1 week of nefazodone therapy the patient experienced headache, confusion, and ""gray areas"" in her vision, without abnormal ophthalmologic findings.",1,Related
"However, long-term PUVA therapy may cause several adverse effects including skin cancer, especially squamous cell carcinoma (SCC).",0,Not-Related
Bilateral Acanthamoeba keratitis in Synergeyes contact lens wear: clinical and confocal microscopy findings.,0,Not-Related
Atrial fibrillation after vardenafil therapy.,1,Related
"Pentavalent antimonial drugs used for the treatment of leishmaniasis have been associated with sudden deaths, probably due to the development of ventricular tachyarrhythmias.",0,Not-Related
Treatment with r-HuEPO does improve the quality of life and ability to work of uremic patients and does not adversely affect their transplant potential.,0,Not-Related
"BACKGROUND: Accutane a teratogenic prescription drug licensed to treat severe, recalcitrant nodular acne.",1,Related
A mechanism for the efficacy of this treatment is discussed.,0,Not-Related
"BACKGROUND: Bupropion, a novel antidepressant, has been reported to produce fewer adverse effects than the tricyclic antidepressants.",0,Not-Related
"The first patient showed a good response to olanzapine, but the RLS symptoms associated with olanzapine resulted in poor long-term compliance, eventually leading to frequent relapse of psychotic symptoms.",0,Not-Related
The present report examines the case of a patient with longstanding Crohn's disease who had never been treated with corticosteroids and who developed osteonecrosis of the talus.,0,Not-Related
"Optometrists should be familiar with this condition, its signs, symptoms and correct treatment protocol.",0,Not-Related
"Specifically, after initiation of 500 mg MMF twice a day given in conjunction with the long-standing use of prednisone, which had been tapered to a dose of 10 mg daily, the patient's red blood cell count dropped by 17% over 7 weeks.",0,Not-Related
"However, 19 days after starting amiodarone, serum testing indicated a hypothyroid status that was not recognized clinically.",0,Not-Related
There is growing evidence that various organic solvents give rise to a parkinsonism syndrome with pyramidal features in susceptible individuals.,0,Not-Related
Systemic capillary leak syndrome after granulocyte colony-stimulating factor (G-CSF).,1,Related
We present a patient with multiple intraoral ulcerations of the right buccal and alveolar mucosa that had previously been treated with nerve ablation therapy for trigeminal neuralgia.,0,Not-Related
"To ensure safety and effectiveness, and to meet the requirements of accreditation agencies, hospitals should develop prescribing guidelines for IV opioid range orders and clear protocols for their implementation.",0,Not-Related
Flurbiprofen-associated acute tubulointerstitial nephritis.,1,Related
"The patient received only the ophthalmic sulfonamide, and it was used for one day, but he developed Stevens-Johnson syndrome.",1,Related
"While the 2 patients without re-exposure to etanercept did not have further CD flares, the third patient flared 6 months after re-institution of etanercept in combination with azathioprine.",0,Not-Related
"In this brief report, we present case of successful cisplatin administration following two unsuccessful carboplatin desensitization attempts, and without the need for pre-treatment steroids.",0,Not-Related
"Initial measurements showed the patient was able to walk for one minute and 34 seconds on a treadmill (2 mph, 10% grade) before stopping because of claudication.",0,Not-Related
"After 4 months, the pain had almost entirely disappeared.",0,Not-Related
A diffuse intrahepatic metastasis of a carcinoid was treated with a loco-regional intraarterial chemotherapy via a catheter system implanted in the gastroduodenal artery.,0,Not-Related
"This report describes a male college student who experienced akinesia lasting almost 3 weeks following withdrawal from relatively brief, low-dose neuroleptic treatment.",0,Not-Related
Acute abdomen due to endometriosis in a premenopausal woman taking tamoxifen.,1,Related
OBJECTIVE: The objective of this study was to assess the efficacy of beta-blockade on clinically significant left ventricular outflow tract obstruction in premature infants treated with dexamethasone because of bronchopulmonary dysplasia.,0,Not-Related
"After mirtazapine therapy was discontinued, serum sodium concentrations normalized.",0,Not-Related
Two patients with bipolar affective disorder and a history of bronchospastic phenomena experienced tremor during lithium carbonate therapy.,1,Related
Histopathology showed an increase in melanocyte numbers and melanogenesis.,0,Not-Related
"The authors also determined that their case of myositis developing in the rectus abdominus muscle of a patient with pancreatic adenocarcinoma was the manifestation of radiation recall, thereby bringing the number of patients who developed radiation recall to gemcitabine and were discussed in the current study to 13.",1,Related
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",1,Related
"Since 1979, over 30 published case reports have documented the relationship between phenylpropanolamine and stroke.",1,Related
Testicular teratoma with a unique mode of spread and spontaneous maturation.,0,Not-Related
A case report.,0,Not-Related
BACKGROUND: A 56-year-old man with normal cardiac function received treatment with interferon alpha-2b for malignant melanoma.,0,Not-Related
Patch testing to individual components revealed positive reactions to all ingredients except aloe.,0,Not-Related
It is concluded that selective 5-HT4 agonists could be potentially useful to improve bladder emptying in micturition disorders associated with detrusor hypocontractility.,0,Not-Related
"Definitive diagnosis was obtained after a mean period of 4.5 weeks (range, 12 days-8 weeks) from onset.",0,Not-Related
"Central nervous system effects secondary to ciprofloxacin treatment are uncommon and usually consist only of minor dizziness or mild headache, although rare occurrences of seizures and hallucinations have been reported.",1,Related
A 55-yr-old man developed prolonged jaundice and sicca complex after a course of thiabendazole therapy.,1,Related
Mycobacterium bovis dissemination (BCG strain) among immunodeficient Brazilian infants.,0,Not-Related
"We describe a woman with relapsed cutaneous follicular centre B-cell lymphoma and secondary lymph-node involvement treated with rituximab alone, which induced a complete remission.",0,Not-Related
Clonidine-induced bradycardia in patients with spinal cord injury.,1,Related
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",1,Related
Environmental agents have long been thought to be linked to the development of malignancies.,0,Not-Related
"However, recently we were confronted with two cases within 1 month.",0,Not-Related
CLINICAL FEATURES: A 34-yr-old man with long-standing insulin dependent diabetes mellitus underwent a total proctocolectomy for inflammatory bowel disease.,0,Not-Related
In more than half of the cases there was evidence of prolonged elimination t1/2 or rebound of a serum concentration during the elimination phase corresponding to either an additional compartment or enterohepatic circulation of 6MP.,0,Not-Related
"Since this reaction was not present on the original aspiration cytology slides, the chemotherapy treatment must have induced this reaction.",0,Not-Related
"There have been conflicting reports as to whether clozapine, an atypical antipsychotic, will suppress symptoms of tardive dyskinesia.",0,Not-Related
Drug induced acute parotitis is a very uncommon complication reported with a few drugs only.,0,Not-Related
Severe tardive dystonia: treatment with continuous intrathecal baclofen administration.,0,Not-Related
"We conclude that, though rare, E. avium can be pathogenic in humans and that E. avium bacteremia is associated with gastrointestinal abnormalities.",0,Not-Related
"Two hours after a documented overdosage of more than 100 tablets oxcarbazepine, the serum level of the parent compound was 10-fold higher than the therapeutic dosage (31.6 mg l(-1)).",0,Not-Related
"In addition to PIA1 platelet antibodies, this patient had an associated anamnestic recall of multispecific red cell and lymphocytotoxic antibodies.",0,Not-Related
The severity of the haemorrhagic diathesis prompted us to describe the case in order to draw the attention of medical personnel to the dangerous potentiation effects of different drugs administered with vitamin K antagonists.,0,Not-Related
"Approximately 1 year after symptom onset he developed mild seropositive oculobulbar myasthenia gravis, which spontaneously remitted after 5 months.",0,Not-Related
Thrombotic thrombocytopenic purpura during penicillamine therapy in rheumatoid arthritis.,1,Related
This potentially fatal complication is difficult to treat and should be widely known.,0,Not-Related
Early-onset pentamidine-associated second-degree heart block and sinus bradycardia: case report and review of the literature.,1,Related
The clinical picture was identical to that of chloroquine and hydroxychloroquine maculopathy.,1,Related
"She had, in July 1977, severe claudication of the lower extremities.",0,Not-Related
Suppression of endogenous cortisol production and replacement with more physiologic concentrations of glucocorticoid were associated with clinical improvement and appeared to contribute to her recovery.,0,Not-Related
She developed a wide complex dysrhythmia which responded to sodium bicarbonate therapy.,0,Not-Related
"A senile patient showed a dramatic recovery from medication-resistant depression after non-convulsive electroshock therapy (nc-EST), with a lasting change in response to trazodone, which mainly acts as a serotonin re-uptake inhibitor.",0,Not-Related
"Verapamil, a class IV anti-arrhythmic drug that blocks voltage-dependent calcium channels in cardiac and smooth muscle, also has effects on presynaptic and postsynaptic voltage-dependent calcium channels at the neuromuscular junction.",0,Not-Related
Thyroid dysfunction has been reported in patients with malignant disease treated with recombinant alpha interferon.,1,Related
MEASUREMENTS AND MAIN RESULTS: Extensive noncardiogenic pulmonary edema.,0,Not-Related
We review the literature on previously reported cases of cutaneous necrosis after injection of standard interferon alfa or pegylated interferon alfa-2b and discuss the different pathophysiologic mechanisms that might be involved.,1,Related
Hepatic reactions to cyclofenil.,1,Related
Bilateral subthalamic nucleus stimulation results in reversal of alopecia in Parkinson's disease.,0,Not-Related
"These in vitro findings and clinical course suggest that TRAb/TBII without thyroid-stimulating activity may develop in patients with amiodarone-induced destructive thyroiditis, as reported in patients with destructive thyroiditis, such as subacute and silent thyroiditis.",1,Related
We report the first case of an acute flare of eosinophilic cystitis in a 51-year-old woman after bladder instillation with dimethyl sulfoxide (DMSO) for presumed interstitial cystitis.,1,Related
We describe such a case who responded to chemotherapy and not to low doses of corticosteroids.,0,Not-Related
"This ""fibroelastic form"" would represent the acute or subacute phase of constriction.",0,Not-Related
Disseminated toxoplasmosis with pulmonary involvement after heart transplantation.,0,Not-Related
"The findings were judged to be consistent with soft-tissue injury associated with intravenous administration of phenytoin, also termed purple glove syndrome.",1,Related
Color Doppler imaging of the thyroid gland in a fetus with congenital goiter: a case report.,0,Not-Related
The infiltrates did not affect the refractive outcome of the surgery.,0,Not-Related
We report the outcomes of two pregnancies with first trimester disulfiram exposure.,0,Not-Related
"Seven months after undergoing a syngeneic PBSC transplant for AML, our patient presented with fever without localizing signs.",0,Not-Related
In conclusion that immunocompromised patients with impaired cellular and humoral immunity are at risk for the development of opportunistic infections and hematologic abnormalities.,0,Not-Related
"We report three patients with transformed migraine, previously refractory to a wide variety of traditional preventive pharmacologic and nonpharmacologic interventions.",0,Not-Related
Multiple cytotoxic drug administration is the generally accepted treatment of patients with a high-risk stage of choriocarcinoma.,0,Not-Related
We report a case of senna-induced cholestatic hepatitis which was not diagnosed at presentation.,1,Related
"However, we cannot exclude a primitive effect of erythropoietin on the endothelium or on the platelets.",0,Not-Related
No flares were observed either in clinical symptoms or in laboratory examinations during pregnancy or after delivery.,0,Not-Related
BACKGROUND: 5-fluorouracil (5-FU) targets rapidly dividing cancer cell populations.,0,Not-Related
Tetracycline and benign intracranial hypertension: report of five cases.,0,Not-Related
"He recovered completely after lamivudine therapy was started, but this severe adverse event could have been prevented if screening for HBV and pre-emptive therapy with lamivudine would have been started prior to infliximab.",0,Not-Related
Provocation of non-convulsive status epilepticus by tiagabine in three adolescent patients.,1,Related
We describe a heart transplant patient who presented with a large right-sided chest wall mass as a manifestation of disseminated histoplasmosis.,0,Not-Related
Five of 157 (3.2%) patients with small cell carcinoma were clinically diagnosed as having the ectopic ACTH syndrome.,0,Not-Related
Six days after starting acyclovir she exhibited signs of lithium toxicity.,1,Related
Two of the five patients who worsened motorically also developed encephalopathy during risperidone treatment; the encephalopathy resolved when the patients were switched to clozapine treatment.,1,Related
We present a case of a sustained monomorphic ventricular tachycardia following adenosine infusion.,1,Related
The signs and symptoms were similar to those seen with systemic use of the drug for other ailments.,0,Not-Related
Pleural and broncheoalveolar fluid analyses (BAL) showed eosinophils.,0,Not-Related
"We identified NAT2*6/*7 in one patient, and NAT2*6/*5 in the other, suggesting that both were slow acetylator phenotypes.",0,Not-Related
"OBSERVATIONS: In both patients, at the time of the visual disturbances, macular edema was clearly observed by OCT.",0,Not-Related
The association between choroidal neovascularization (CNV) and retinal vein occlusive disease is uncommon.,0,Not-Related
"This is not a controlled study but an anecdotal experience that resulted in improved outcomes in a patient with multiple allergies, including iron dextran.",0,Not-Related
"Physicians should be aware of the risk of severe AIHA in CLL patients with a history of AIHA or positivation of the DAT during previous fludarabine administration, or in case of secondary fixation of complement to the red cell membrane occurring during fludarabine treatment.",1,Related
"We report a 34-year-old man with a history of nodular lymphocyte-predominant Hodgkin lymphoma (NLPHL), treated with different chemotherapy regimens, including anthracyclines and Rituximab.",0,Not-Related
"The areas under the curve for theophylline alone and theophylline with zafirlukast were 29.3 and 197 (mg x h)/L, respectively.",0,Not-Related
All patients except two had new recurrences within the observation time.,0,Not-Related
Corticosteroids were found to worsen and prolong the course of disease.,0,Not-Related
"On hospital day 47 (day 45 of nesiritide therapy), the patient received an 18-fold overdose of nesiritide, with no hemodynamic, cardiac, or renal sequelae.",0,Not-Related
"Resting motor threshold (RMT), active motor threshold (AMT), MEP size, intracortical inhibition (ICI) and intracortical facilitation (ICF) were tested during and after suspension of hormonal therapy.",0,Not-Related
"METHODOLOGY: A case series of nine patients with lead poisoning who required inpatient management, identified through a Clinical Toxicology Service.",0,Not-Related
